22;The Bad Plus;Jazz / Contemporain
23;Brad Mehldau;Jazz / Piano
47;Compilations;Autres
13;Vashti Bunyan;Folk / Pop / Rock
20;The Chills;Indie Pop / Indie Rock
21;The Clifford Brown–Max Roach Quintet;Jazz / Classique
13;Peter Gabriel;Folk / Pop / Rock
14;Nino Ferrer;FR
14;Serge Gainsbourg;FR
10;The Avalanches;Electro / Downtempo
20;Julian Cope;Indie Pop / Indie Rock
31;The Fall;Post-Punk / New Wave
20;Robyn Hitchcock;Indie Pop / Indie Rock
19;The Mountain Goats;Indie Folk
31;DEVO;Post-Punk / New Wave
19;Neko Case;Indie Folk
5;Blur;Britpop
19;EELS;Indie Folk
20;Washed Out;Indie Pop / Indie Rock
2;Bauhaus;Art Pop / Synthpop
29;Red Hot Chili Peppers;Pop Rock
24;The Devin Townsend Band;Metal Progressif / Death Metal
6;Yann Tiersen;Classique Contemporain
23;Shai Maestro;Jazz / Piano
20;The Postal Service;Indie Pop / Indie Rock
20;The Jesus and Mary Chain;Indie Pop / Indie Rock
10;Gorillaz;Electro / Downtempo
21;Pharoah Sanders;Jazz / Classique
16;Racer X;Guitare
7;Before the Dawn;Death Metal Mélodique
31;The Cure;Post-Punk / New Wave
24;Orphaned Land;Metal Progressif / Death Metal
13;Paul Simon;Folk / Pop / Rock
10;Ratatat;Electro / Downtempo
30;Isis;Post-Metal
22;Pat Metheny Group;Jazz / Contemporain
20;glass beach;Indie Pop / Indie Rock
23;Joey Alexander;Jazz / Piano
13;Randy Newman;Folk / Pop / Rock
21;Kenny Burrell;Jazz / Classique
20;Cat Power;Indie Pop / Indie Rock
18;Akhenaton;Hip-Hop
33;Blind Guardian;Power Metal
13;Styx;Folk / Pop / Rock
38;Kansas;Rock Progressif
31;Wire;Post-Punk / New Wave
20;Sweet Trip;Indie Pop / Indie Rock
23;Brad Mehldau Trio;Jazz / Piano
36;Gnarls Barkley;R&B
32;God Is an Astronaut;Post-Rock
13;Carole King;Folk / Pop / Rock
18;Deltron 3030;Hip-Hop
17;UFO;Hard Rock / Heavy Metal
4;Les Discrets _ Alcest;Black Metal
20;The Olivia Tremor Control;Indie Pop / Indie Rock
20;The Notwist;Indie Pop / Indie Rock
27;GoGo Penguin;Nu Jazz
8;Anathema;Doom / Gothic Metal
22;Avishai Cohen Trio;Jazz / Contemporain
31;Wipers;Post-Punk / New Wave
25;L'Impératrice;New Funk
2;LCD Soundsystem;Art Pop / Synthpop
21;McCoy Tyner;Jazz / Classique
20;The Teardrop Explodes;Indie Pop / Indie Rock
20;Beulah;Indie Pop / Indie Rock
42;The Righteous Brothers;Soul / Funk
42;Bill Withers;Soul / Funk
21;Wayne Shorter;Jazz / Classique
16;Paul Gilbert;Guitare
35;Jeff Rosenstock;Punk Rock / Ska
20;The Replacements;Indie Pop / Indie Rock
45;XTC;XTC
13;The High Llamas;Folk / Pop / Rock
20;The Beta Band;Indie Pop / Indie Rock
35;NOFX;Punk Rock / Ska
14;Georges Brassens;FR
20;Mansun;Indie Pop / Indie Rock
18;Ice Cube;Hip-Hop
21;Hank Mobley;Jazz / Classique
20;Electrelane;Indie Pop / Indie Rock
11;Katy Perry;Electro / Electropop
20;The Lemonheads;Indie Pop / Indie Rock
34;Thrice;Punk / Post-Hardcore
20;Mercury Rev;Indie Pop / Indie Rock
17;Michael Schenker Group;Hard Rock / Heavy Metal
13;Cheap Trick;Folk / Pop / Rock
11;CHVRCHΞS;Electro / Electropop
42;Stevie Wonder;Soul / Funk
20;IDLES;Indie Pop / Indie Rock
32;This Will Destroy You;Post-Rock
19;Bill Callahan;Indie Folk
22;Tord Gustavsen Trio;Jazz / Contemporain
2;Lorde;Art Pop / Synthpop
36;Estelle;R&B
20;Gustavo Cerati;Indie Pop / Indie Rock
23;Vince Guaraldi;Jazz / Piano
13;Gene Clark;Folk / Pop / Rock
13;The Monkees;Folk / Pop / Rock
2;Japan;Art Pop / Synthpop
1;Faith No More;Alternative Rock / Metal
42;Allen Toussaint;Soul / Funk
44;Enya;World Music
20;Kurt Vile;Indie Pop / Indie Rock
31;Siekiera;Post-Punk / New Wave
20;Beck;Indie Pop / Indie Rock
21;The Horace Silver Quintet;Jazz / Classique
24;Myrath;Metal Progressif / Death Metal
23;Abdullah Ibrahim;Jazz / Piano
28;Angelo Badalamenti;OST
25;Breakbot;New Funk
22;Pat Metheny;Jazz / Contemporain
20;The Field Mice;Indie Pop / Indie Rock
13;Blue Öyster Cult;Folk / Pop / Rock
9;Carbon Based Lifeforms;Electro / Ambient
20;The Smashing Pumpkins;Indie Pop / Indie Rock
31;The B‐52s;Post-Punk / New Wave
42;Lee Fields & The Expressions;Soul / Funk
13;Brian Eno;Folk / Pop / Rock
21;Freddie Hubbard;Jazz / Classique
20;The Magnetic Fields;Indie Pop / Indie Rock
36;Rhye;R&B
42;Dionne Warwick;Soul / Funk
7;Cormorant;Death Metal Mélodique
13;Big Star;Folk / Pop / Rock
42;Aretha Franklin;Soul / Funk
20;CAKE;Indie Pop / Indie Rock
11;Jamie xx;Electro / Electropop
20;The Breeders;Indie Pop / Indie Rock
19;Animal Collective;Indie Folk
20;Julia Holter;Indie Pop / Indie Rock
41;Low;Slowcore
31;CCCP Fedeli alla linea;Post-Punk / New Wave
17;Metallica;Hard Rock / Heavy Metal
14;Brel, Brassens, Ferré;FR
22;Ibrahim Maalouf;Jazz / Contemporain
2;La Femme;Art Pop / Synthpop
42;Sister Sledge;Soul / Funk
19;Elliott Smith;Indie Folk
2;New Order;Art Pop / Synthpop
20;Built to Spill;Indie Pop / Indie Rock
5;Pulp;Britpop
13;Supertramp;Folk / Pop / Rock
20;They Might Be Giants;Indie Pop / Indie Rock
20;Japandroids;Indie Pop / Indie Rock
12;The Chemical Brothers;Electro / Techno
14;Renaud;FR
20;The Smiths;Indie Pop / Indie Rock
20;Purple Mountains;Indie Pop / Indie Rock
13;4 Non Blondes;Folk / Pop / Rock
11;Kero Kero Bonito;Electro / Electropop
38;Camel;Rock Progressif
20;Yeah Yeah Yeahs;Indie Pop / Indie Rock
11;MGMT;Electro / Electropop
34;Unwound;Punk / Post-Hardcore
32;65daysofstatic;Post-Rock
33;Haggard;Power Metal
22;Weather Report;Jazz / Contemporain
13;Derek and the Dominos;Folk / Pop / Rock
13;Men at Work;Folk / Pop / Rock
20;The Flaming Lips;Indie Pop / Indie Rock
9;Aphex Twin;Electro / Ambient
31;Joy Division;Post-Punk / New Wave
13;Elton John;Folk / Pop / Rock
21;Lee Morgan;Jazz / Classique
17;Judas Priest;Hard Rock / Heavy Metal
41;Duster;Slowcore
11;SOPHIE;Electro / Electropop
21;Ahmad Jamal;Jazz / Classique
31;Joe Jackson;Post-Punk / New Wave
20;The Walkmen;Indie Pop / Indie Rock
17;Slayer;Hard Rock / Heavy Metal
22;George Duke;Jazz / Contemporain
36;Kelela;R&B
20;Pinback;Indie Pop / Indie Rock
8;Moonspell;Doom / Gothic Metal
8;Paradise Lost;Doom / Gothic Metal
13;Roxy Music;Folk / Pop / Rock
23;Lynne Arriale Trio;Jazz / Piano
17;Scorpions;Hard Rock / Heavy Metal
20;Pavement;Indie Pop / Indie Rock
28;Calum Bowen;OST
19;Aldous Harding;Indie Folk
13;Steve Winwood;Folk / Pop / Rock
29;Wir sind Helden;Pop Rock
38;Can;Rock Progressif
20;Foals;Indie Pop / Indie Rock
14;Indochine;FR
22;Rahsaan Roland Kirk;Jazz / Contemporain
9;Boards of Canada;Electro / Ambient
31;Mission of Burma;Post-Punk / New Wave
20;Morrissey;Indie Pop / Indie Rock
14;Charles Aznavour;FR
20;WHY_;Indie Pop / Indie Rock
2;Passion Pit;Art Pop / Synthpop
31;Кино;Post-Punk / New Wave
24;Dream Theater;Metal Progressif / Death Metal
21;Dave Brubeck;Jazz / Classique
27;Aufgang;Nu Jazz
20;The Pains of Being Pure at Heart;Indie Pop / Indie Rock
13;The Walker Brothers;Folk / Pop / Rock
7;Ghost Brigade;Death Metal Mélodique
31;Nick Lowe;Post-Punk / New Wave
13;Hoodoo Gurus;Folk / Pop / Rock
13;The Pogues;Folk / Pop / Rock
13;Bryan Adams;Folk / Pop / Rock
35;Die Ärzte;Punk Rock / Ska
20;Life Without Buildings;Indie Pop / Indie Rock
20;Deerhoof;Indie Pop / Indie Rock
14;Michel Berger;FR
13;Graham Nash;Folk / Pop / Rock
20;Portugal. The Man;Indie Pop / Indie Rock
31;Television;Post-Punk / New Wave
10;Tycho;Electro / Downtempo
39;Steven Wilson;Rock Progressif Moderne
13;Scott Walker;Folk / Pop / Rock
20;Have a Nice Life;Indie Pop / Indie Rock
20;Belle and Sebastian;Indie Pop / Indie Rock
32;Caspian;Post-Rock
2;Kraftwerk;Art Pop / Synthpop
20;Bombay Bicycle Club;Indie Pop / Indie Rock
22;Robert Glasper;Jazz / Contemporain
5;Travis;Britpop
19;16 Horsepower;Indie Folk
42;Donna Summer;Soul / Funk
20;Death Cab for Cutie;Indie Pop / Indie Rock
20;Cocteau Twins;Indie Pop / Indie Rock
10;Dan Deacon;Electro / Downtempo
13;Status Quo;Folk / Pop / Rock
20;Everything but the Girl;Indie Pop / Indie Rock
20;The Microphones;Indie Pop / Indie Rock
7;Hypocrisy;Death Metal Mélodique
32;Sigur Rós;Post-Rock
21;Miles Davis;Jazz / Classique
42;Curtis Harding;Soul / Funk
