Ali Farka Touré and Ry Cooder - Ai Du;/home/david/nfs/WDC14/Musique/Ali Farka Touré with Ry Cooder/Talking Timbuktu/09 Ai Du.mp3
Gonzales - Nero's Nocturne;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/06 Nero's Nocturne.flac
Isis - 20 Minutes/40 Years;/home/david/nfs/WDC14/Musique/Isis/Wavering Radiant/06 20 Minutes _ 40 Years.mp3
Jimi Hendrix - All Along the Watchtower;/home/david/nfs/WDC14/Musique/The Jimi Hendrix Experience/Electric Ladyland/15 All Along the Watchtower.mp3
Ariel Pink's Haunted Graffiti - Can't Hear My Eyes;/home/david/nfs/WDC14/Musique/Ariel Pink’s Haunted Graffiti/Before Today/09 Can’t Hear My Eyes.mp3
Bonobo - Days to Come (feat. Bajka);/home/david/nfs/WDC14/Musique/Bonobo/Days to Come/02 Days to Come.flac
Gonzales - Evolving Doors;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/08 Evolving Doors.flac
Air - Ce Matin-là;/home/david/nfs/WDC14/Musique/Air/Moon Safari/08 Ce matin là.mp3
Alcest - Sur l'autre rive je t'attendrai;/home/david/nfs/WDC14/Musique/Alcest/Souvenirs d’un autre monde/05 Sur l’autre rive je t’attendrai.mp3
Placebo - Without You I'm Nothing;/home/david/nfs/WDC14/Musique/Placebo/Without You I’m Nothing/05 Without You I’m Nothing.mp3
Gonzales - Escher;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/04 Escher.flac
Gonzales - Minor Fantasy;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/03 Minor Fantasy.flac
Gonzales - Armellodie;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/06 Armellodie.flac
Ariel Pink's Haunted Graffiti - Menopause Man;/home/david/nfs/WDC14/Musique/Ariel Pink’s Haunted Graffiti/Before Today/11 Menopause Man.mp3
...And You Will Know Us by the Trail of Dead - Another Morning Stoner;/home/david/nfs/WDC14/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/02 Another Morning Stoner.mp3
...And You Will Know Us by the Trail of Dead - How Near How Far;/home/david/nfs/WDC14/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/05 How Near How Far.mp3
...And You Will Know Us by the Trail of Dead - It Was There That I Saw You;/home/david/nfs/WDC14/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/01 It Was There That I Saw You.mp3
...And You Will Know Us by the Trail of Dead - Source Tags & Codes;/home/david/nfs/WDC14/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/11 Source Tags & Codes.mp3
Breakbot - Baby I'm Yours;/home/david/nfs/WDC14/Musique/Breakbot/By Your Side/10 Baby I'm Yours.mp3
Clifford Brown & Max Roach - Take the A´ Train;/home/david/nfs/WDC14/Musique/Clifford Brown & Max Roach/Study in Brown/09 Take the _A_´ Train.mp3
Daft Punk - Doin' It Right (feat. Panda Bear);/home/david/nfs/WDC14/Musique/Daft Punk/Random Access Memories/12 Doin’ It Right.mp3
Daft Punk - Get Lucky (feat. Pharrell Williams);/home/david/nfs/WDC14/Musique/Daft Punk/Random Access Memories/08 Get Lucky.mp3
Daft Punk - Instant Crush (feat. Julian Casablancas);/home/david/nfs/WDC14/Musique/Daft Punk/Random Access Memories/05 Instant Crush.mp3
Daniel Balavoine - La Vie Ne M'Apprend Rien;/home/david/nfs/WDC14/Musique/Daniel Balavoine/L’Essentiel/09 La vie ne m’apprend rien.mp3
Daniel Balavoine - Sauver l'amour;/home/david/nfs/WDC14/Musique/Daniel Balavoine/L’Essentiel/14 Sauver l’amour.mp3
Earth, Wind & Fire - Boogie Wonderland;/home/david/nfs/WDC14/Musique/Earth, Wind & Fire/I Am/05 Boogie Wonderland.mp3
Earth, Wind & Fire - Runnin';/home/david/nfs/WDC14/Musique/Earth, Wind & Fire/All ’n All/09 Runnin’.mp3
Elliott Smith - Happiness/The Gondola Man;/home/david/nfs/WDC14/Musique/Elliott Smith/Figure 8/12 Happiness _ The Gondola Man.mp3
Elliott Smith - L.A.;/home/david/nfs/WDC14/Musique/Elliott Smith/Figure 8/06 LA.mp3
Eminem - Stan;/home/david/nfs/WDC14/Musique/Eminem/The Marshall Mathers LP/03 Stan.mp3
Estelle - American Boy;/home/david/nfs/WDC14/Musique/Estelle/Shine/03 American Boy.mp3
General Elektriks - You Don't Listen;/home/david/nfs/WDC14/Musique/General Elektriks/Good City for Dreamers/03 You Don’t Listen.mp3
Genesis - Get 'em Out by Friday;/home/david/nfs/WDC14/Musique/Genesis/Foxtrot/03 Get ’Em Out by Friday.mp3
Genesis - Supper's Ready;/home/david/nfs/WDC14/Musique/Genesis/Foxtrot/06 Supper’s Ready.mp3
Gonzales - Siren Song;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/12 Siren Song.mp3
Gonzales - The Grudge;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/05 The Grudge.mp3
Gotye - Somebody That I Used to Know;/home/david/nfs/WDC14/Musique/Gotye/Making Mirrors/03 Somebody That I Used to Know.mp3
Helloween - I'm Alive;/home/david/nfs/WDC14/Musique/Helloween/Keeper of the Seven Keys, Part I/02 I’m Alive.mp3
IAM - L'Empire du côté obscur;/home/david/nfs/WDC14/Musique/IAM/L’École du micro d’argent/07 L’Empire du côté obscur.mp3
IAM - L'école du micro d'argent;/home/david/nfs/WDC14/Musique/IAM/L’École du micro d’argent/01 L’École du micro d’argent.mp3
Jacqueline Taïeb - 7 A.M.;/home/david/nfs/WDC14/Musique/Jacqueline Taïeb/The Complete Masterworks of the French Mademoiselle/01 7 heures du matin.mp3
Janelle Monáe - Make the Bus;/home/david/nfs/WDC14/Musique/Janelle Monáe/The ArchAndroid/14 Make the Bus.mp3
Jim O'Rourke - 94 the Long Way;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Bad Timing/02 94 the Long Way.flac
Jim O'Rourke - Eureka;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Eureka/07 Eureka.flac
Jim O'Rourke - Happy Holidays;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Eureka/08 Happy Holidays.flac
Jim O'Rourke - Memory Lame;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Insignificance/04 Memory Lame.flac
Jim O'Rourke - Please Patronize Our Sponsors;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Eureka/05 Please Patronize Our Sponsors.flac
Jim O'Rourke - Prelude To 110 Or 220/Women Of The world;/home/david/nfs/WDC14/Musique/Jim O’Rourke/Eureka/01 Prelude to 110 or 220 _ Women of the World.flac
Journey - Don’t Stop Believin’;/home/david/nfs/WDC14/Musique/Journey/Escape/01 Don't Stop Believin'.mp3
Kanye West - Flashing Lights;/home/david/nfs/WDC14/Musique/Kanye West/Graduation/09 Flashing Lights.mp3
Kanye West - Gold Digger;/home/david/nfs/WDC14/Musique/Kanye West/Late Registration/04 Gold Digger.mp3
Kanye West - Heard 'Em Say;/home/david/nfs/WDC14/Musique/Kanye West/Late Registration/02 Heard 'em Say.mp3
Kanye West - Never Let Me Down;/home/david/nfs/WDC14/Musique/Kanye West/The College Dropout/08 Never Let Me Down.mp3
Kanye West - Runaway;/home/david/nfs/WDC14/Musique/Kanye West/My Beautiful Dark Twisted Fantasy/09 Runaway.mp3
