Youn Sun Nah - Hurt;/home/david/nfs/Toshiba/Musique/나윤선/Lento/03 Hurt.mp3
Ólafur Arnalds - Tomorrow's Song;/home/david/nfs/Toshiba/Musique/Ólafur Arnalds/Living Room Songs/04 Tomorrow’s Song.flac
Bonobo - Nightlite (feat. Bajka);/home/david/nfs/Toshiba/Musique/Bonobo/Days to Come/06 Nightlite.flac
Bonobo - Between the Lines (feat. Bajka);/home/david/nfs/Toshiba/Musique/Bonobo/Days to Come/03 Between the Lines.flac
Ali Farka Touré and Ry Cooder - Ai Du;/home/david/nfs/Toshiba/Musique/Ali Farka Touré with Ry Cooder/Talking Timbuktu/09 Ai Du.mp3
Gonzales - Nero's Nocturne;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/06 Nero's Nocturne.flac
Isis - 20 Minutes/40 Years;/home/david/nfs/Toshiba/Musique/Isis/Wavering Radiant/06 20 Minutes _ 40 Years.mp3
Jimi Hendrix - All Along the Watchtower;/home/david/nfs/Toshiba/Musique/The Jimi Hendrix Experience/Electric Ladyland/15 All Along the Watchtower.mp3
Ariel Pink's Haunted Graffiti - Can't Hear My Eyes;/home/david/nfs/Toshiba/Musique/Ariel Pink’s Haunted Graffiti/Before Today/09 Can’t Hear My Eyes.mp3
Bonobo - Days to Come (feat. Bajka);/home/david/nfs/Toshiba/Musique/Bonobo/Days to Come/02 Days to Come.flac
Gonzales - Evolving Doors;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/08 Evolving Doors.flac
Air - Ce Matin-là;/home/david/nfs/Toshiba/Musique/Air/Moon Safari/08 Ce matin là.mp3
Alcest - Sur l'autre rive je t'attendrai;/home/david/nfs/Toshiba/Musique/Alcest/Souvenirs d’un autre monde/05 Sur l’autre rive je t’attendrai.mp3
Placebo - Without You I'm Nothing;/home/david/nfs/Toshiba/Musique/Placebo/Without You I’m Nothing/05 Without You I’m Nothing.mp3
Gonzales - Escher;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/04 Escher.flac
Gonzales - Minor Fantasy;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/03 Minor Fantasy.flac
Gonzales - Armellodie;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/06 Armellodie.flac
Ariel Pink's Haunted Graffiti - Menopause Man;/home/david/nfs/Toshiba/Musique/Ariel Pink’s Haunted Graffiti/Before Today/11 Menopause Man.mp3
